language,context,token_budget,n_questions,contains_reference_answer_rate,exact_reference_match_rate,all_reference_numbers_found_rate
en,en_statements_16000tok,16000,20,0.55,0.25,0.3
en,en_statements_2000tok,2000,20,0.2,0.1,0.1
en,en_statements_8000tok,8000,20,0.45,0.25,0.2
en,en_statements_full,full,20,0.55,0.25,0.3
ru,ru_statements_16000tok,16000,20,0.65,0.35,0.4
ru,ru_statements_2000tok,2000,20,0.25,0.15,0.2
ru,ru_statements_8000tok,8000,20,0.55,0.35,0.3
ru,ru_statements_full,full,20,0.65,0.35,0.4
